year,seção_id,seção_descrição,divisão_id,divisão_descrição,numero_de_empresas,pessoal_ocupado_total,pessoal_ocupado_assalariados,alto_crescimento
2015,L,Atividades imobiliárias,68,Atividades imobiliárias,114,8777,8595,Alto Crescimento
2015,M,"Atividades profissionais, científicas e técnicas",69,"Atividades jurídicas, de contabilidade e de auditoria",279,16081,15403,Alto Crescimento
2015,M,"Atividades profissionais, científicas e técnicas",70,Atividades de sedes de empresas e de consultoria em gestão empresarial,85,13324,13174,Alto Crescimento
2015,M,"Atividades profissionais, científicas e técnicas",71,Serviços de arquitetura e engenharia; testes e análises técnicas,284,38438,37937,Alto Crescimento
2015,M,"Atividades profissionais, científicas e técnicas",72,Pesquisa e desenvolvimento científico,4,131,127,Alto Crescimento
2015,M,"Atividades profissionais, científicas e técnicas",73,Publicidade e pesquisa de mercado,79,9638,9513,Alto Crescimento
2015,M,"Atividades profissionais, científicas e técnicas",74,"Outras atividades profissionais, científicas e técnicas",77,12267,12118,Alto Crescimento
2015,M,"Atividades profissionais, científicas e técnicas",75,Atividades veterinárias,8,226,212,Alto Crescimento
2015,N,Atividades administrativas e serviços complementares,77,Aluguéis não-imobiliários e gestão de ativos intangíveis não-financeiros,323,35994,35549,Alto Crescimento
2015,N,Atividades administrativas e serviços complementares,78,"Seleção, agenciamento e locação de mão-de-obra",332,172030,171574,Alto Crescimento
2015,N,Atividades administrativas e serviços complementares,79,"Agências de viagens, operadores turísticos e serviços de reservas",73,4550,4417,Alto Crescimento
2015,N,Atividades administrativas e serviços complementares,80,"Atividades de vigilância, segurança e investigação",412,136817,136309,Alto Crescimento
2015,N,Atividades administrativas e serviços complementares,81,Serviços para edifícios e atividades paisagísticas,926,220661,219430,Alto Crescimento
2015,N,Atividades administrativas e serviços complementares,82,"Serviços de escritório, de apoio administrativo e outros serviços prestados às empresas",692,226907,225924,Alto Crescimento
2015,O,"Administração pública, defesa e seguridade social",84,"Administração pública, defesa e seguridade social",2,-1,-1,Alto Crescimento
2015,P,Educação,85,Educação,1336,77615,74994,Alto Crescimento
